Title,Tags
Development Name:,BENG TONG MANSION
Status:,Active
Development Location:,241B TANJONG KATONG ROAD SINGAPORE 437028
MC Address:,"- TANJONG KATONG ROAD

 SINGAPORE 437029"
MC Contact No.:,63464776
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0008
UEN:,S68MC0008G
Date of MC Constitution:,29/10/1968
Development Name:,BENG TONG MANSION
Status:,Active
Development Location:,255B TANJONG KATONG ROAD SINGAPORE 437043
MC Address:,"255 TANJONG KATONG ROAD
BEN TONG MANSION
 SINGAPORE 437043"
MC Contact No.:,63456920
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0009
UEN:,S68MC0009C
Date of MC Constitution:,29/10/1968
Development Name:,BENG TONG MANSION
Status:,Active
Development Location:,257B TANJONG KATONG ROAD SINGAPORE 437045
MC Address:,"257 TANJONG KATONG ROAD

 SINGAPORE 437045"
MC Contact No.:,63457048
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0010
UEN:,S68MC0010L
Date of MC Constitution:,29/10/1968
Development Name:,BENG TONG MANSION
Status:,Active
Development Location:,259B TANJONG KATONG ROAD SINGAPORE 437047
MC Address:,"259 TANJONG KATONG ROAD
BENGTONG MANSIONS
 SINGAPORE 437047"
MC Contact No.:,63456165
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0011
UEN:,S69MC0011A
Date of MC Constitution:,13/05/1969
Development Name:,BINJAI PARK
Status:,Active
Development Location:,31/A/B BINJAI PARK SINGAPORE 589831
MC Address:,"31B BINJAI PARK

 SINGAPORE 589832"
MC Contact No.:,97605320
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0012
UEN:,S69MC0012H
Date of MC Constitution:,13/05/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0012
Status:,Active
Development Location:,27B BINJAI PARK SINGAPORE 589829
MC Address:,"27B BINJAI PARK
#27-B BINJAI PARK
 SINGAPORE 589830"
MC Contact No.:,64654690
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0013
UEN:,S69MC0013D
Date of MC Constitution:,13/05/1969
Development Name:,BINJAI PARK
Status:,Active
Development Location:,23B BINJAI PARK SINGAPORE 589827
MC Address:,"23A BINJAI PARK

 SINGAPORE 589828"
MC Contact No.:,90017128
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0014
UEN:,S69MC0014L
Date of MC Constitution:,13/05/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0014
Status:,Active
Development Location:,17 BINJAI PARK SINGAPORE 589825
MC Address:,"19 BINJAI PARK

 SINGAPORE 589826"
MC Contact No.:,96729324
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0015
UEN:,S69MC0015G
Date of MC Constitution:,13/05/1969
Development Name:,MANAGEMENT CORPORATIO STRATA TITLE PLAN NO. 0015
Status:,Active
Development Location:,15B BINJAI PARK SINGAPORE 589964
MC Address:,"8 JELEBU ROAD
#06-01 
 SINGAPORE 677671"
MC Contact No.:,98364731
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0016
UEN:,S69MC0016C
Date of MC Constitution:,13/05/1969
Development Name:,MANAGEMENT CORPORATIO STRATA TITLE PLAN NO. 0016
Status:,Active
Development Location:,9 BINJAI PARK SINGAPORE 589822
MC Address:,"BINJAI PARK

 SINGAPORE 589822"
MC Contact No.:,64665359
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0017
UEN:,S69MC0017K
Date of MC Constitution:,13/05/1969
Development Name:,BINJAI PARK
Status:,Active
Development Location:,3/A/B BINJAI PARK SINGAPORE 589819
MC Address:,"1014 GEYLANG EAST AVENUE 3
#07-216 
 SINGAPORE 389729"
MC Contact No.:,68440801
Name of Managing Agent:,Halley Service Pte Ltd
Managing Agent Contact No.:,68440801
MCST No:,0018
UEN:,S69MC0018F
Date of MC Constitution:,13/05/1969
Development Name:,MANAGEMENT CORPORATIO STRATA TITLE PLAN NO. 0018
Status:,Active
Development Location:,7/A/B BINJAI PARK SINGAPORE 589821
MC Address:,"1014 GEYLANG EAST AVENUE 3
#07-216 
 SINGAPORE 389729"
MC Contact No.:,68440801
Name of Managing Agent:,Halley Service Pte Ltd
Managing Agent Contact No.:,68440801
MCST No:,0019
UEN:,S69MC0019B
Date of MC Constitution:,13/05/1969
Development Name:,VALLEY MANSIONS
Status:,Active
Development Location:,58A OXLEY ROAD SINGAPORE 238637
MC Address:,"50-68 OXLEY ROAD
VALLEY MANSION
 SINGAPORE 238653"
MC Contact No.:,62218288
Name of Managing Agent:,SRE Global Pte Ltd
Managing Agent Contact No.:,62218288
MCST No:,0020
UEN:,S69MC0020K
Date of MC Constitution:,09/06/1969
Development Name:,MANDALAY COURT
Status:,Terminated
Development Location:,31/A-G MANDALAY ROAD SINGAPORE 308212
MC Address:,"31 MANDALAY ROAD

 SINGAPORE"
MC Contact No.:,
Name of Managing Agent:,HALLEY SERVICES PTE LTD
Managing Agent Contact No.:,68440801
MCST No:,0021
UEN:,S69MC0021F
Date of MC Constitution:,24/07/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0021
Status:,Active
Development Location:,8C LEWIS ROAD SINGAPORE 258591
MC Address:,"8 LEWIS ROAD

 SINGAPORE 258593"
MC Contact No.:,62352372
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0022
UEN:,S69MC0022B
Date of MC Constitution:,21/08/1969
Development Name:,
Status:,Terminated
Development Location:,
MC Address:,"71 LORONG 23 GEYLANG
#06-01 THK BUILDING
 SINGAPORE 388386"
MC Contact No.:,67412422
Name of Managing Agent:,BRONSAN INTERS-FURNI CONTRACTS & SERVICES
Managing Agent Contact No.:,92205693
MCST No:,0023
UEN:,S69MC0023J
Date of MC Constitution:,05/09/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0023
Status:,Active
Development Location:,136C TANJONG KATONG ROAD SINGAPORE 436976
MC Address:,"50 CHIN SWEE ROAD
#09-02 THONG CHAI BUILDING
 SINGAPORE 169874"
MC Contact No.:,67322220
Name of Managing Agent:,Sierra Asset Management Pte Ltd
Managing Agent Contact No.:,67322220
MCST No:,0024
UEN:,S69MC0024E
Date of MC Constitution:,26/09/1969
Development Name:,SPRING COURT / SPRING MANSION
Status:,Terminated
Development Location:,3/A/B/C/D JALAN DUSUN SINGAPORE 329367
MC Address:,"574 BALESTIER ROAD
SPRING COURT / SPRING MANSION
 SINGAPORE 329889"
MC Contact No.:,90220505
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0025
UEN:,S69MC0025A
Date of MC Constitution:,15/10/1969
Development Name:,GOLDHILL TOWERS
Status:,Active
Development Location:,38 GOLDHILL AVENUE SINGAPORE 309021
MC Address:,"38-44 GOLDHILL AVENUE
GOLDHILL TOWERS
 SINGAPORE 309021"
MC Contact No.:,98781206
Name of Managing Agent:,Exceltec Property Management Pte Ltd
Managing Agent Contact No.:,98781206
MCST No:,0026
UEN:,S69MC0026H
Date of MC Constitution:,18/11/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0026
Status:,Active
Development Location:,30B FLANDERS SQUARE SINGAPORE 209310
MC Address:,"30 FLANDERS SQUARE

 SINGAPORE 209310"
MC Contact No.:,62981936
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0027
UEN:,S69MC0027D
Date of MC Constitution:,18/11/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0027
Status:,Active
Development Location:,28/A/B FLANDERS SQUARE SINGAPORE 209309
MC Address:,"288 TAMPINES STREET 22
#2-346 
 SINGAPORE 520288"
MC Contact No.:,67812736
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0028
UEN:,S69MC0028L
Date of MC Constitution:,18/11/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0028
Status:,Active
Development Location:,26 FLANDERS SQUARE SINGAPORE 209308
MC Address:,"6 TAMAN SIREH

 SINGAPORE 535199"
MC Contact No.:,62868382
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0029
UEN:,S69MC0029G
Date of MC Constitution:,18/11/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0029
Status:,Active
Development Location:,24/A/B FLANDERS SQUARE SINGAPORE 209307
MC Address:,"24A FLANDERS SQUARE

 SINGAPORE 209307"
MC Contact No.:,62967993
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0030
UEN:,S69MC0030D
Date of MC Constitution:,18/11/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0030
Status:,Active
Development Location:,22/A/B FLANDERS SQUARE SINGAPORE 209306
MC Address:,"30 CASSIA CRESCENT
#08-04 
 SINGAPORE 391030"
MC Contact No.:,63485324
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0031
UEN:,S69MC0031L
Date of MC Constitution:,18/11/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0031
Status:,Active
Development Location:,20B FLANDERS SQUARE SINGAPORE 208305
MC Address:,"40L HERTFORD ROAD

 SINGAPORE 219392"
MC Contact No.:,
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0032
UEN:,S69MC0032G
Date of MC Constitution:,18/11/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0032
Status:,Active
Development Location:,18 FLANDERS SQUARE SINGAPORE 209304
MC Address:,"18 FLANDERS SQUARE

 SINGAPORE 209304"
MC Contact No.:,67486287
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0033
UEN:,S69MC0033C
Date of MC Constitution:,19/11/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0033
Status:,Active
Development Location:,16B FLANDERS SQUARE SINGAPORE 209303
MC Address:,"22 BOON KENG ROAD
#10-07 
 SINGAPORE 330022"
MC Contact No.:,62969476
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0034
UEN:,S69MC0034K
Date of MC Constitution:,19/11/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0034
Status:,Active
Development Location:,14/A/B FLANDERS SQUARE SINGAPORE 209301
MC Address:,"14 FLANDERS SQUARE

 SINGAPORE 209301"
MC Contact No.:,62924369
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0035
UEN:,S69MC0035F
Date of MC Constitution:,19/11/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0035
Status:,Active
Development Location:,12/A/B FLANDERS SQUARE SINGAPORE 209300
MC Address:,"12 FLANDERS SQUARE

 SINGAPORE 209300"
MC Contact No.:,
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0036
UEN:,S69MC0036B
Date of MC Constitution:,19/11/1969
Development Name:,FLANDERS SQUARE
Status:,Active
Development Location:,10 FLANDERS SQUARE SINGAPORE 209299
MC Address:,"126C KIM TIAN ROAD
#07-513 
 SINGAPORE 163126"
MC Contact No.:,90291308
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0037
UEN:,S69MC0037J
Date of MC Constitution:,19/11/1969
Development Name:,
Status:,Active
Development Location:,8B FLANDERS SQUARE SINGAPORE 209298
MC Address:,"142 BEDOK RESERVOIR ROAD
#08-1541 
 SINGAPORE 470142"
MC Contact No.:,
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0038
UEN:,S69MC0038E
Date of MC Constitution:,19/11/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0038
Status:,Active
Development Location:,6/A/B FLANDERS SQUARE SINGAPORE 209297
MC Address:,"LORONG 23 GEYLANG
TACPLAS HOUSE
 SINGAPORE 388362"
MC Contact No.:,67422250
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0039
UEN:,S69MC0039A
Date of MC Constitution:,19/11/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0039
Status:,Active
Development Location:,4 FLANDERS SQUARE SINGAPORE 209296
MC Address:,"4 FLANDERS SQUARE

 SINGAPORE 209296"
MC Contact No.:,
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0040
UEN:,S69MC0040J
Date of MC Constitution:,19/11/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0040
Status:,Active
Development Location:,2/A/B FLANDERS SQUARE SINGAPORE 209295
MC Address:,"2 FLANDERS SQUARE

 SINGAPORE 209295"
MC Contact No.:,
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0041
UEN:,S69MC0041E
Date of MC Constitution:,22/11/1969
Development Name:,PEONY MANSION
Status:,Terminated
Development Location:,46 BENCOOLEN STREET SINGAPORE 189624
MC Address:,"20 MAXWELL ROAD
#12-01A MAXWELL HOUSE
 SINGAPORE 069113"
MC Contact No.:,65354600
Name of Managing Agent:,SCMS PROPERTY MANAGEMENT PTE LTD
Managing Agent Contact No.:,65354600
MCST No:,0042
UEN:,S69MC0042A
Date of MC Constitution:,29/11/1969
Development Name:,THE SINGAPORE-JOHORE EXPRESSN LTD
Status:,Active
Development Location:,4 WHAMPOA DRIVE SINGAPORE 327715
MC Address:,"4B WHAMPOA DRIVE

 SINGAPORE 327715"
MC Contact No.:,
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0043
UEN:,S69MC0043H
Date of MC Constitution:,29/11/1969
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0043
Status:,Active
Development Location:,10 WHAMPOA DRIVE SINGAPORE 327720
MC Address:,"17 JOO CHIAT LANE
#01-07 THE LEGEND AT JOO CHIAT
 SINGAPORE 428096"
MC Contact No.:,92788338
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0044
UEN:,S69MC0044D
Date of MC Constitution:,22/12/1969
Development Name:,
Status:,Terminated
Development Location:,4 ROBIN ROAD SINGAPORE 258177
MC Address:,"96 ROBINSON ROAD
#10-01 
 SINGAPORE 068899"
MC Contact No.:,65366696
Name of Managing Agent:,PACIFIC PROPERTY MANAGEMENT PTE LTD
Managing Agent Contact No.:,68411535
MCST No:,0045
UEN:,S70MC0045B
Date of MC Constitution:,30/01/1970
Development Name:,35/36 SEAH STREET
Status:,Active
Development Location:,36/A/B SEAH STREET SINGAPORE 188392
MC Address:,"35/36 SEAH STREET

 SINGAPORE 188392"
MC Contact No.:,62982100
Name of Managing Agent:,Parkland Property Services Pte Ltd
Managing Agent Contact No.:,62982100
MCST No:,0046
UEN:,S70MC0046J
Date of MC Constitution:,17/02/1970
Development Name:,NEWTON COURT
Status:,Terminated
Development Location:,118C NEWTON ROAD SINGAPORE 307973
MC Address:,"SIMS AVENUE

 SINGAPORE"
MC Contact No.:,68421731
Name of Managing Agent:,LANDSFIELD PROPERTY CONSULTANTS PTE LTD
Managing Agent Contact No.:,68421731
MCST No:,0047
UEN:,S70MC0047E
Date of MC Constitution:,06/03/1970
Development Name:,HOOVER FLATS
Status:,Terminated
Development Location:,11/A/B/C/D JALAN RAMA RAMA SINGAPORE 329095
MC Address:,"JALAN KILANG BARAT

 SINGAPORE"
MC Contact No.:,
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0048
UEN:,S70MC0048A
Date of MC Constitution:,23/03/1970
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0048
Status:,Active
Development Location:,38C CHANGI ROAD SINGAPORE 419701
MC Address:,"56A LORONG 32 GEYLANG

 SINGAPORE 398316"
MC Contact No.:,96303848
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0049
UEN:,S70MC0049H
Date of MC Constitution:,31/03/1970
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0049
Status:,Active
Development Location:,3E LORONG 12 GEYLANG SINGAPORE 398984
MC Address:,"12 LORONG 12 GEYLANG

 SINGAPORE 398984"
MC Contact No.:,67483878
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0050
UEN:,S70MC0050E
Date of MC Constitution:,31/03/1970
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0050
Status:,Active
Development Location:,3H LORONG 12 GEYLANG SINGAPORE 398984
MC Address:,"LORONG 12 GEYLANG

 SINGAPORE 398984"
MC Contact No.:,62800306
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0051
UEN:,S70MC0051A
Date of MC Constitution:,01/04/1970
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0051
Status:,Active
Development Location:,30B SEAH STREET SINGAPORE 188383
MC Address:,"27 SEAH STREET
#05-01 
 SINGAPORE 188383"
MC Contact No.:,63384968
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0052
UEN:,S70MC0052H
Date of MC Constitution:,23/04/1970
Development Name:,(Terminated)
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0053
UEN:,S70MC0053D
Date of MC Constitution:,04/05/1970
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0053
Status:,Active
Development Location:,69B LORONG 16 GEYLANG SINGAPORE 398888
MC Address:,"32 LORONG 8 GEYLANG
DARLENE HOTEL
 SINGAPORE 399096"
MC Contact No.:,90183521
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0054
UEN:,S70MC0054L
Date of MC Constitution:,25/05/1970
Development Name:,SERANGOON MANSION
Status:,Terminated
Development Location:,26C RACE COURSE LANE SINGAPORE 218743
MC Address:,"2 BALESTIER ROAD
#03-669 
 SINGAPORE 320002"
MC Contact No.:,90015253
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0055
UEN:,S70MC0055G
Date of MC Constitution:,13/06/1970
Development Name:,(Terminated)
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0056
UEN:,S70MC0056C
Date of MC Constitution:,26/06/1970
Development Name:,NA
Status:,Active
Development Location:,11A/B SING AVENUE SINGAPORE 217865
MC Address:,"21A SING AVENUE

 SINGAPORE 217869"
MC Contact No.:,62987519
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0057
UEN:,S70MC0057K
Date of MC Constitution:,30/06/1970
Development Name:,ENG AUN MANSION
Status:,Active
Development Location:,322/A/B/C THOMSON ROAD SINGAPORE 307658
MC Address:,"304-322 THOMSON ROAD
ENG AUN MANSION
 SINGAPORE 307654"
MC Contact No.:,82225353
Name of Managing Agent:,ACE DECISION FACILITIES MANAGEMENT PTE LTD
Managing Agent Contact No.:,82225353
MCST No:,0058
UEN:,S70MC0058F
Date of MC Constitution:,15/07/1970
Development Name:,
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD
Managing Agent Contact No.:,64685100
MCST No:,0059
UEN:,S70MC0059B
Date of MC Constitution:,17/07/1970
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0059
Status:,Active
Development Location:,74 LORONG 25A GEYLANG SINGAPORE 388257
MC Address:,"LORONG 25A GEYLANG

 SINGAPORE 388257"
MC Contact No.:,67484575
Name of Managing Agent:,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD
Managing Agent Contact No.:,64685100
MCST No:,0060
UEN:,S70MC0060K
Date of MC Constitution:,17/07/1970
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0060
Status:,Active
Development Location:,76 LORONG 25A GEYLANG SINGAPORE 388258
MC Address:,"76 LORONG 25A GEYLANG

 SINGAPORE 388258"
MC Contact No.:,68379068
Name of Managing Agent:,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD
Managing Agent Contact No.:,64685100
MCST No:,0061
UEN:,S70MC0061F
Date of MC Constitution:,17/07/1970
Development Name:,78 LORONG 25A GEYLANG
Status:,Active
Development Location:,78 LORONG 25A GEYLANG SINGAPORE 388259
MC Address:,"110 JALAN JURONG KECHIL
#02-01 SWEEBI HOUSE
 SINGAPORE 598606"
MC Contact No.:,64681949
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0062
UEN:,S70MC0062B
Date of MC Constitution:,17/07/1970
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0062
Status:,Active
Development Location:,80 LORONG 25A GEYLANG SINGAPORE 388260
MC Address:,"80 LORONG 25A GEYLANG

 SINGAPORE 388260"
MC Contact No.:,
Name of Managing Agent:,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD
Managing Agent Contact No.:,64685100
MCST No:,0063
UEN:,S70MC0063J
Date of MC Constitution:,12/09/1970
Development Name:,DRAGON MANSION
Status:,Terminated
Development Location:,14 SPOTTISWOODE PARK ROAD SINGAPORE 088641
MC Address:,"2 KALLANG AVENUE
#09-28 CT HUB
 SINGAPORE 339407"
MC Contact No.:,67356255
Name of Managing Agent:,AV CONSULTANTS PTE LTD
Managing Agent Contact No.:,67356255
MCST No:,0064
UEN:,S70MC0064E
Date of MC Constitution:,14/09/1970
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0064
Status:,Active
Development Location:,39B TRURO ROAD SINGAPORE 217579
MC Address:,"37/39 TRURO ROAD

 SINGAPORE 217577"
MC Contact No.:,91804288
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0065
UEN:,S70MC0065A
Date of MC Constitution:,21/09/1970
Development Name:,MOULMEIN RISE
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0066
UEN:,S70MC0066H
Date of MC Constitution:,02/10/1970
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0066
Status:,Active
Development Location:,163 MACPHERSON ROAD SINGAPORE 348532
MC Address:,"UPPER CROSS STREET
#11-14 
 SINGAPORE 58358"
MC Contact No.:,65364336
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0067
UEN:,S70MC0067D
Date of MC Constitution:,02/10/1970
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0067
Status:,Active
Development Location:,71 JALAN WANGI SINGAPORE 349385
MC Address:,"71 JALAN WANGI

 SINGAPORE 349385"
MC Contact No.:,62812355
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0068
UEN:,S70MC0068L
Date of MC Constitution:,02/10/1970
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0068
Status:,Active
Development Location:,73B JALAN WANGI SINGAPORE 349386
MC Address:,"73 JALAN WANGI

 SINGAPORE 349386"
MC Contact No.:,62887168
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0069
UEN:,S70MC0069G
Date of MC Constitution:,02/10/1970
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0069
Status:,Active
Development Location:,77 JALAN WANGI SINGAPORE 349388
MC Address:,"77 JALAN WANGI

 SINGAPORE 349388"
MC Contact No.:,
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0070
UEN:,S70MC0070D
Date of MC Constitution:,24/10/1970
Development Name:,UNITED MANSION
Status:,Active
Development Location:,596C EAST COAST ROAD SINGAPORE 458998
MC Address:,"540 SIMS AVENUE
#03-06 SIMS AVENUE CENTRE
 SINGAPORE 387603"
MC Contact No.:,68421731
Name of Managing Agent:,Landsfield Property Management Pte Ltd
Managing Agent Contact No.:,68421731
MCST No:,0071
UEN:,S70MC0071L
Date of MC Constitution:,23/11/1970
Development Name:,
Status:,Terminated
Development Location:,56/A/B/C MARTABAN ROAD SINGAPORE 328666
MC Address:,"YUK TONG AVENUE

 SINGAPORE 596306"
MC Contact No.:,64661342
Name of Managing Agent:,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD
Managing Agent Contact No.:,64661342
MCST No:,0072
UEN:,S70MC0072G
Date of MC Constitution:,17/11/1970
Development Name:,DRAGON VIEW PK (Terminated)
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD
Managing Agent Contact No.:,64661342
MCST No:,0073
UEN:,S70MC0073C
Date of MC Constitution:,17/11/1970
Development Name:,Management Corporation Strata Title No. 0073
Status:,Active
Development Location:,2 GRAY LANE SINGAPORE 438938
MC Address:,"2B GRAY LANE
GRAY LANE MANAGEMENT CORPORATION
 SINGAPORE 438934"
MC Contact No.:,96906197
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0074
UEN:,S70MC0074K
Date of MC Constitution:,19/11/1970
Development Name:,HONG THYE HOUSE
Status:,Terminated
Development Location:,7E LORONG 39 GEYLANG SINGAPORE 387867
MC Address:,"701 GEYLANG ROAD
#02-04 TEAMBUILD CENTRE
 SINGAPORE 389687"
MC Contact No.:,
Name of Managing Agent:,PROMPTSERVE PTY MGT PTE LTD
Managing Agent Contact No.:,91776959
MCST No:,0075
UEN:,S70MC0075F
Date of MC Constitution:,21/12/1970
Development Name:,BOTANIC GARDENS MANSION
Status:,Active
Development Location:,10 TAMAN SERASI SINGAPORE 257721
MC Address:,"2, 10, 18 TAMAN SERASI
BOTANIC GARDENS MANSION
 SINGAPORE 257718"
MC Contact No.:,64732588
