MCST No:,UEN:,Date of MC Constitution:,Development Name:,Status:,Development Location:,MC Address:,MC Contact No.:,Name of Managing Agent:,Managing Agent Contact No.:
1312,S87MC1312A,01/10/1987,INTREPID WAREHOUSE,Active,209 UBI AVENUE 4 SINGAPORE 408806,"125A LORONG 2 TOA PAYOH
#02-134 TOA PAYOH 
 SINGAPORE 311125",62569333,Newman & Goh Property Consultants Pte Ltd,62569333
1313,S87MC1313H,08/10/1987,MANAGEMENT CORP[ORATION STRATA TITLE PLAN NO. 1313,Active,11C LORONG 33 GEYLANG SINGAPORE 387980,"11 LORONG 33 GEYLANG

 SINGAPORE 387980",67442816,NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD,62569333
1314,S87MC1314D,12/10/1987,NASSIM GARDEN,Terminated,49C NASSIM ROAD SINGAPORE 258435,"7 UBI CLOSE

 SINGAPORE 408604",68917195,N,
1315,S87MC1315L,12/10/1987,EMERALD HILL APARTMENTS,Active,140 EMERALD HILL ROAD SINGAPORE 229417,"140 EMERALD HILL ROAD
EMERALD HILL APARTMENTS
 SINGAPORE 229418",62501102,Bond Properties Pte Ltd,62501102
1316,S87MC1316G,13/10/1987,,Terminated,,"6001 BEACH ROAD
#21-8 
 SINGAPORE 199589",,MCST,97523839
1317,S87MC1317C,27/10/1988,THYE HONG CENTRE (termination),Terminated,2 LENG KEE ROAD SINGAPORE 159086,"2 LENG KEE ROAD
#1-1 THYE HONG CENTRE
 SINGAPORE 159086",65925198,Chambers Property Management Services Pte Ltd,65925198
1318,S87MC1318K,27/10/1987,UPPER THOMSON ROAD,Active,910/A-J UPPER THOMSON ROAD SINGAPORE 787112,"4 KAKI BUKIT AVENUE 1
#05-02 
 SINGAPORE 417939",68861936,Ocean IFM Pte Ltd,68861936
1319,S87MC1319F,29/10/1987,TG KATONG APT,Terminated,,,,HBA GROUP PROPERTY CONSULTANTS PTE LTD,63387222
1320,S87MC1320C,02/11/1987,HUDSON  INDUSTRIAL BUILDING,Terminated,14 NEW INDUSTRIAL ROAD SINGAPORE 536203,"14 NEW INDUSTRIAL ROAD
#1-2 
 SINGAPORE 536203",62814960,HS PROPERTY MANAGEMENT PTE LTD,62209666
1321,S87MC1321K,02/11/1987,AURA PARK,Terminated,53 HOLLAND ROAD SINGAPORE 258859,"531 UPPER CROSS STREET
#3-52 HONG LIM COMPLEX
 SINGAPORE 50531",65333376,RHODO PROPERTY & ESTATE MGT SERVICES PTE LTD,65333375
1322,S87MC1322F,05/11/1987,LENGKONG GDNS,Terminated,,,,LANDSFIELD PROPERTY CONSULTANTS PTE LTD,68421731
1323,S87MC1323B,05/11/1987,(Terminated),Terminated,,,,LANDSFIELD PROPERTY CONSULTANTS PTE LTD,68421731
1324,S87MC1324J,05/11/1987,DAISY LODGE,Active,3 DAISY ROAD SINGAPORE 359426,"162 BUKIT MERAH CENTRAL
#06-3545 
 SINGAPORE 150162",62218288,SRE Global Pte Ltd,62218288
1325,S87MC1325E,09/11/1987,ANAMALAI APARTMENTS,Active,9A ANAMALAI AVENUE SINGAPORE 279979,"9B ANAMALAI AVENUE
ANAMALAI APARTMENT
 SINGAPORE 279881",98276957,,
1326,S87MC1326A,11/11/1987,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1326,Active,261D CHANGI ROAD SINGAPORE 419748,"88 SYED ALWI ROAD
#02-01 
 SINGAPORE 207667",62977035,NIL,
1327,S87MC1327H,14/11/1987,ESPANA CONDOMINIUM,Active,12 DYSON ROAD SINGAPORE 309371,"12 DYSON ROAD
#01-06 ESPANA CONDOMINIUM
 SINGAPORE 309371",63541190,LIM TIONG TAT,97647001
1328,S87MC1328D,16/11/1987,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.1328,Active,511 BUKIT TIMAH ROAD SINGAPORE 269692,"33 SUNGEI KADUT STREET 4

 SINGAPORE 729056",62692668,,
1329,S87MC1329L,18/11/1987,MELLOW MANSIONS,Terminated,448 EAST COAST ROAD SINGAPORE 429021,"448 EAST COAST ROAD
#B1-01 MELLOW MANSIONS
 SINGAPORE 429021",63442661,,
1330,S87MC1330H,26/11/1987,LUTHERAN TOWERS,Active,25 TAN KIM CHENG ROAD SINGAPORE 266621,"21 TAN KIM CHENG ROAD
LUTHERAN TOWERS
 SINGAPORE 266621",62211313,Property Facility Serivces Pte Ltd,62211313
1331,S87MC1331D,04/12/1987,SWEE HONG BUILDING,Terminated,,"10 JALAN BESAR
#13-8 SIM LIM TOWER
 SINGAPORE 208787",62965555,SWEE HONG INVESTMENT PTE LTD,62965555
1332,S87MC1332L,04/12/1987,WEDGE MOUNT INDUSTRIAL  BUILDING,Terminated,35 JALAN PEMIMPIN SINGAPORE 577176,"10 PEIRCE ROAD

 SINGAPORE 248529",98508898,NIL,98508898
1333,S87MC1333G,17/12/1987,TIAN COURT (Terminated),Terminated,51 MANGIS ROAD SINGAPORE 424979,"51 MANGIS ROAD
#01-02 TIAN COURT
 SINGAPORE 424979",91769679,Propman Pte Ltd,91769679
1334,S87MC1334C,24/12/1987,SLF COMPLEX,Active,510 THOMSON ROAD SINGAPORE 298135,"514 THOMSON ROAD
SLF ANNEXE BUILDING
 SINGAPORE 298179",62582414,CBM Pte Ltd,62582414
1335,S87MC1335K,28/12/1987,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1335,Active,24A LORONG MAMBONG SINGAPORE 277683,"38 KIM TIAN ROAD
#03-05 REGENCY SUITES
 SINGAPORE 169262",62210106,,
1336,S87MC1336F,28/12/1987,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1336,Active,4B CARPMAEL ROAD SINGAPORE 429753,"4 CARPMAEL ROAD

 SINGAPORE 429753",63443366,,
1337,S87MC1337B,31/12/1987,VILLA CHANCERY,Active,39 CHANCERY LANE SINGAPORE 309568,"504 JURONG WEST STREET 51
#03-209 
 SINGAPORE 640504",67792711,Stature Real Estate Enterprises Pte Ltd,67792711
1338,S88MC1338C,07/01/1988,DELFI ORCHARD,Active,402 ORCHARD ROAD SINGAPORE 238876,"402 ORCHARD ROAD
#05-02 DELFI ORCHARD
 SINGAPORE 238876",67321605,,
1339,S88MC1339K,20/01/1988,TUNG ANN ASSOCIATION BUILDING,Active,141 CECIL STREET SINGAPORE 069541,"141 CECIL STREET
#09-00 TUNG ANN ASSOCIATION BUILDING
 SINGAPORE 069541",62214317,Property Facility Serivces Pte Ltd,6210 4317
1340,S88MC1340G,22/01/1988,RIVAN COURT,Terminated,85 DUKU ROAD SINGAPORE 429249,"85 DUKU ROAD
RIVAN COURT
 SINGAPORE 429249",63454943,MCST,
1341,S88MC1341C,11/02/1988,PEBBLE GARDENS,Terminated,486A GUILLEMARD ROAD SINGAPORE 399832,"488 GUILLEMARD ROAD
PEBBLE GARDENS
 SINGAPORE 399834",62569333,NEWMAN & GOH PROPERTY CONSULTANTS (PTE) LTD,62569333
1342,S88MC1342K,12/02/1988,ENTERPRISE INDUSTRIAL BUILDING,Active,27 BOON TECK ROAD SINGAPORE 329599,"46A BOON TECK ROAD
ENTERPRISE INDUSTRIAL BUILDING (MGMT OFFICE)
 SINGAPORE 388568",94248354,1 Property Asset Management Pte Ltd,94248354
1343,S88MC1343F,13/02/1988,ONE TREE HILL GARDEN,Terminated,12 ONE TREE HILL SINGAPORE 248677,"12 ONE TREE HILL
ONE TREE HILL GARDENS
 SINGAPORE 248677",62230169,SMART PROPERTY MANAGEMENT (S) PTE LTD,62230169
1344,S88MC1344B,24/02/1988,DUBLIN LODGE,Active,28 DUBLIN ROAD SINGAPORE 239818,"28-42 DUBLIN ROAD
DUBLIN LODGE
 SINGAPORE 239818",97573611,,
1345,S88MC1345J,25/02/1988,SOMMERVILLE COURT,Terminated,21 SOMMERVILLE ROAD SINGAPORE 358246,"1 GOLDHILL PLAZA
#2-7 PODIUM BLOCK
 SINGAPORE 308899",,NIL,
1346,S88MC1346E,25/02/1988,TECK GUAN VILLE,Active,336 UPPER EAST COAST ROAD SINGAPORE 466457,"194 PANDAN LOOP
#07-02 PANTECH BUSINESS HUB 
 SINGAPORE 128383",6440 7948,Teams Strata Management Services Pte Ltd,6440 7948
1347,S88MC1347A,29/02/1988,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1347,Active,64B ONAN ROAD SINGAPORE 424504,"64 ONAN ROAD

 SINGAPORE 424504",64604220,NIL,
1348,S88MC1348H,02/03/1988,HERTFORD APARTMENTS,Terminated,40/A-M HERTFORD ROAD SINGAPORE 219392,"101 CECIL STREET
#26-01/07 TONG ENG BUILDING
 SINGAPORE 069533",62237712,NIL,
1349,S88MC1349D,03/03/1988,GOODLINK PARK,Active,367/A SEMBAWANG ROAD SINGAPORE 758381,"91 BENCOOLEN STREET
#02-01 SUNSHINE PLAZA
 SINGAPORE 189652",67366001,Hoe-Tan Co (Pte) Ltd,67366001
1350,S88MC1350A,04/03/1988,JOO CHIAT MANSION,Active,185 JOO CHIAT PLACE SINGAPORE 427897,"1 PAYA LEBAR LINK
#04-01 
 SINGAPORE 408533",69379060,TRI PROPERTY ASSET MANAGEMENT PTE LTD,69379060
1351,S88MC1351H,04/03/1988,THE VANTAGE,Active,6 ORANGE GROVE ROAD SINGAPORE 258331,"6 ORANGE GROVE ROAD
#01-00 THE VANTAGE
 SINGAPORE 258331",63488278,Iland Property Consultants Pte Ltd,63488278
1352,S88MC1352D,07/03/1988,MINBU COURT,Active,54 MINBU ROAD SINGAPORE 308184,"54 MINBU ROAD
#B1-01 MINBU COURT
 SINGAPORE 308184",68861936,Ocean IFM Pte Ltd,68861936
1353,S88MC1353L,10/03/1988,,Terminated,,"LORONG N TELOK KURAU

 SINGAPORE 425254",63459590,MCST,
1354,S88MC1354G,15/03/1988,RICHMORE COURT (Terminated),Terminated,118B LORONG K TELOK KURAU SINGAPORE 425757,"116 LORONG K TELOK KURAU
RICHMORE COURT
 SINGAPORE 425757",63482163,MCST,
1355,S88MC1355C,16/03/1988,POH LENG BUILDING,Active,21 MOONSTONE LANE SINGAPORE 328462,"21 MOONSTONE LANE
#09-02 POH LENG BUILDING
 SINGAPORE 328462",96386208,IFM MANAGEMENT SERVICES PTE LTD,96386208
1356,S88MC1356K,23/03/1988,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.1356,Active,11B LORONG 15 GEYLANG SINGAPORE 398921,"9 LORONG 15 GEYLANG

 SINGAPORE 309944",98241498,,
1357,S88MC1357F,25/03/1988,,Terminated,,,,MCST,
1358,S88MC1358B,30/04/1988,SPANISH VILLAGE,Active,66 FARRER ROAD SINGAPORE 268849,"68 FARRER ROAD
SPANISH VILLAGE
 SINGAPORE 268844",64664820,Knight Frank Property Asset Management Pte Ltd,91000881
1359,S88MC1359J,30/03/1988,THE HAMLET,Terminated,33 WOODSVILLE CLOSE SINGAPORE 357779,"531 UPPER CROSS STREET
#4-12 HONG LIM COMPLEX
 SINGAPORE 50531",63345565,DICKSON PROPERTY CONSULTANTS PTE LTD,63345565
1360,S88MC1360F,08/04/1988,GUANG MING INDUSTRIAL BUILDING,Terminated,65 UPPER PAYA LEBAR ROAD SINGAPORE 534817,"65 UPPER PAYA LEBAR ROAD
GUANG MING INDUSTRIAL BUILDING
 SINGAPORE 534817",65354600,SCMS Property Management Pte Ltd,65354600
1361,S88MC1361B,07/04/1988,OWEN COURT,Active,102 OWEN ROAD SINGAPORE 218911,"50 CHIN SWEE ROAD
#09-02 THONG CHAI BUILDING
 SINGAPORE 169874",67322220,Sierra Asset Management Pte Ltd,67322220
1362,S88MC1362J,08/04/1988,SIMON COURT,Terminated,51 SIMON PLACE SINGAPORE 545999,"2 KOVAN ROAD
#1-0 SIMON PLAZA
 SINGAPORE 548008",,PROMPTSERVE PROPERTY MANAGEMENT PTE LTD,91776959
1363,S88MC1363E,12/04/1988,,Terminated,,,,PROMPTSERVE PROPERTY MANAGEMENT PTE LTD,91776959
1364,S88MC1364A,12/04/1988,K GARDEN,Terminated,20 LORONG K TELOK KURAU SINGAPORE 425616,"20 LORONG K TELOK KURAU
#1-1 K GARDEN
 SINGAPORE 425616",,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD,64661342
1365,S88MC1365H,13/04/1988,THE ARDMORE (TERMINATED),Terminated,6 ARDMORE PARK SINGAPORE 259953,"6 ARDMORE PARK
#1-1 THE ARDMORE
 SINGAPORE 259953",62569333,NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD,62569333
1366,S88MC1366D,15/04/1988,CHARLESVILLE,Terminated,418 UPPER PAYA LEBAR ROAD SINGAPORE 534996,"418 UPPER PAYA LEBAR ROAD
#1-1 CHARLESVILLE
 SINGAPORE 534996",64111689,,
1367,S88MC1367L,18/04/1988,MANAGEMENT CORPORATION TITLE NO 1367,Active,137/A/B/C SYED ALWI ROAD SINGAPORE 207696,"119 KENG LEE ROAD

 SINGAPORE 308405",64190601,NIL,
1368,S88MC1368G,22/04/1988,FORTVILLE,Terminated,,,,NIL,
1369,S88MC1369C,22/04/1988,LA VILLE,Active,6D TANJONG RHU ROAD SINGAPORE 436885,"6C TANJONG RHU ROAD
LA VILLE
 SINGAPORE 436885",69333838,Affinity Property Consultants Pte Ltd,69333838
1370,S88MC1370L,25/04/1988,,Terminated,55A JALAN TAMAN SINGAPORE 329000,"JALAN TAMAN

 SINGAPORE",62935763,BARRINGHAM INTERNATIONAL PROPERTY MANAGEMENT PTE LTD,64664703
1371,S88MC1371G,25/04/1988,,Terminated,T JALAN TAMAN SINGAPORE 329001,"JALAN KILANG BARAT

 SINGAPORE",,BARRINGHAM INTERNATIONAL PROPERTY MANAGEMENT PTE LTD,64664703
1372,S88MC1372C,04/05/1988,CHUAN HOE MANSION,Terminated,50 CHUAN HOE AVENUE SINGAPORE 549848,"50 CHUAN HOE AVENUE
#1-1 CHUAN HOE MANSION
 SINGAPORE 549848",97636171,BARRINGHAM INTERNATIONAL PROPERTY MANAGEMENT PTE LTD,64664703
1373,S88MC1373K,18/05/1988,WHITE HOUSE PARK APARTMENTS,Terminated,,"2 FINLAYSON GREEN
#9-2 ASIA INSURANCE BUILDING
 SINGAPORE 49247",62211472,ASIA PROPERTIES MANAGEMENT PTE LTD,62211472
1374,S88MC1374F,24/05/1988,THE BALMORAL,Active,14 BALMORAL PARK SINGAPORE 259846,"16 BALMORAL PARK
THE BALMORAL
 SINGAPORE 259847",97842236,AMPM Property Consultants Pte Ltd,65549591
1375,S88MC1375B,26/05/1988,FLYNN PARK,Active,18 YEW SIANG ROAD SINGAPORE 117755,"18  YEW SIANG ROAD
#00-00 FLYNN PARK
 SINGAPORE 117755",64716432,Luxman Property Consultants Pte Ltd,64716432
1376,S88MC1376J,06/02/1988,MCST PLAN NO 1376 (Terminated),Terminated,1E SERAYA CRESCENT SINGAPORE 575815,"1D SERAYA CRESCENT

 SINGAPORE 575815",98169911,,
1377,S88MC1377E,03/06/1988,PALACE MANSION,Terminated,8 LORONG 26 GEYLANG SINGAPORE 398483,"701 GEYLANG ROAD
#02-04 PALACE MANSION
 SINGAPORE 389687",67437740,,
1378,S88MC1378A,07/06/1988,EMERALD MANSION,Terminated,109A EMERALD HILL ROAD SINGAPORE 229388,"EMERALD HILL ROAD
EMERALD MANSION
 SINGAPORE 229388",65354600,SCMS PROPERTY MANAGEMENT PTE LTD,65354600
1379,S88MC1379H,10/06/1988,FAR HORIZON GARDENS,Active,7 ANG MO KIO AVENUE 9 SINGAPORE 569763,"1 ANG MO KIO AVENUE 9
#01-01 FAR HORIZON GARDENS
 SINGAPORE 569758",64588512,Landsfield Property Consultants Pte Ltd,68421731
1380,S88MC1380E,17/06/1988,HONG HOCK BUILDING,Active,27 HAMILTON ROAD SINGAPORE 209196,"27 HAMILTON ROAD
HONG HOCK BUILDING
 SINGAPORE 209196",62943832,NIL,
1381,S88MC1381A,21/06/1988,,Terminated,,,,NIL,
1382,S88MC1382H,01/01/1987,JUBILATION APARTMENTS,Terminated,4 AKYAB ROAD SINGAPORE 309973,"2 JALAN RAJAH
#1-10 GOLDEN WALL FLATTED FACTORY
 SINGAPORE 329134",52525138,ALPHA REALTY MANAGEMENT PTE LTD,62525138
1383,S88MC1383D,30/06/1988,114 & 116/A/B/C MACKENZIE,Terminated,114/A/B/C MACKENZIE ROAD SINGAPORE 228709,"273 THOMSON ROAD
#02-03 NOVENA GARDENS
 SINGAPORE 307644",63550100,,
1384,S88MC1384L,05/07/1988,289 BEACH ROAD,Active,289 BEACH ROAD SINGAPORE 199552,"289 BEACH ROAD
289 BEACH ROAD
 SINGAPORE 199552",63385533,Pentagon Property Consultants Pte Ltd,63385533
1385,S88MC1385G,22/07/1988,GENTING WAREHOUSE,Active,45 GENTING LANE SINGAPORE 349557,"162 BUKIT MERAH CENTRAL
#06-3545 
 SINGAPORE 150162",62218288,SRE Management Services Pte Ltd,62218288
1386,S88MC1386C,22/07/1988,MANAGEMENT CPORPORATION STRATA TILLE NO 1386,Terminated,562/A/B/C SERANGOON ROAD SINGAPORE 218178,"10 KRANJI CRESCENT
SHANGDA PTE LTD
 SINGAPORE 728660",,NIL,
1387,S88MC1387K,27/07/1988,PENG'S COURT,Active,226 TEMBELING ROAD SINGAPORE 423714,"7030 ANG MO KIO AVENUE 5
#09-73 NORTHSTAR@AMK
 SINGAPORE 569880",67336845,KIRIN ASSET MANAGEMENT PTE LTD,67336845
1388,S88MC1388F,30/07/1988,KAI SHENG COURT,Terminated,15B MAR THOMA ROAD SINGAPORE 328691,"1 KIM SENG PROMENADE
#05-02 GREAT WORLD CITY
 SINGAPORE 237994",64661342,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD,97672119
1389,S88MC1389B,03/08/1988,LAM SOON INDUSTRIAL BUILDING,Active,63 HILLVIEW AVENUE SINGAPORE 669569,"63 HILLVIEW AVENUE
#06-01 LAM SOON INDUSTRIAL BUILDING
 SINGAPORE 669569",67693253,,
1390,S88MC1390K,08/08/1988,GENTLE VIEW,Active,7 GENTLE ROAD SINGAPORE 309135,"7 GENTLE ROAD
GENTLE VIEW
 SINGAPORE 309135",62504415,NIL,96668304
1391,S88MC1391F,11/08/1988,WATERFALL GARDENS (strata scheme terminated),Terminated,8 FARRER ROAD SINGAPORE 268820,"8 FARRER ROAD
WATERFALL GARDENS (ENBLOC SALE COMPLETED ON 19.3.06)
 SINGAPORE 268820",64687248,SILKHAD PTE LTD,68363633
1392,S88MC1392B,16/08/1988,SATNAM HOUSE,Terminated,67 HIGH STREET SINGAPORE 179431,"22 MALACCA STREET
#16-00 RAFFLES FINANCIAL CENTRE PTE LTD
 SINGAPORE 048980",,,
1393,S88MC1393J,20/08/1988,CLYDESVILLE,Terminated,177F JALAN LOYANG BESAR SINGAPORE 509435,"JALAN LOYANG BESAR
CLYDESVILLE
 SINGAPORE 509436",65850545,BAJAJ TEXTILES PTE LTD,63374844
1394,S88MC1394E,01/09/1988,RIVERIA VIEW (TERMINATED),Terminated,20 RIVER VALLEY GROVE SINGAPORE 235867,"20 RIVER VALLEY GROVE
#1-1 RIVERIA  VIEW (TERMINATED)
 SINGAPORE 235867",63723032,KNIGHT FRANK ESTATE MANAGEMENT PTE LTD,63723032
1395,S88MC1395A,12/09/1988,HABITAT II (Terminated),Terminated,2 ARDMORE PARK SINGAPORE 259947,"204 HOUGANG STREET 21
#3-109 
 SINGAPORE 530204",63838996,DTC SERVICES PTE LTD,63838996
1396,S88MC1396H,13/09/1988,TAI LEE INDUSTRIAL BUILDING,Active,39 JALAN PEMIMPIN SINGAPORE 577182,"8 BURN ROAD
#17-06 TRIVEX
 SINGAPORE 369977",67026018,Absolut Properties Pte Ltd,67026018
1397,S88MC1397D,16/09/1988,SIXTH AVENUE CENTRE,Active,805 BUKIT TIMAH ROAD SINGAPORE 279883,"805 BUKIT TIMAH ROAD
#01-08 SIXTH AVENUE CENTRE
 SINGAPORE 279883",98345250,LAND & BUILDING SERVICES,98345250
1398,S88MC1398L,23/09/1988,KIM TIAN PLAZA (Terminated),Terminated,38 KIM TIAN ROAD SINGAPORE 169262,"38 KIM TIAN ROAD
#3-0 KIM TIAN PLAZA
 SINGAPORE 169262",62662222,LCD PROPERTY MANAGEMENT PTE LTD (MR VINCENT LOW-97556967),6266222
1399,S88MC1399G,13/09/1988,THE PEAK,Active,35 PEPYS ROAD SINGAPORE 118456,"37 PEPYS ROAD
#02-02 THE PEAK
 SINGAPORE 118456",91995921,Alpha Property Management and Consultants Pte Ltd,62882240
1400,S88MC1400L,01/10/1988,"MANAGEMENT CORPORATION STRATA TITLE PLAN NO, 1400",Active,42/A/B/C HORNE ROAD SINGAPORE 209066,"70 GERALD DRIVE

 SINGAPORE 548502",64814963,KNIGHT FRANK ESTATE MANAGEMENT PTE LTD,63723033
1401,S88MC1401G,04/10/1988,MEYSON BUILDING,Active,40/A/B HORNE ROAD SINGAPORE 209065,"40 HORNE ROAD
MEYSON BUILDING
 SINGAPORE 209065",,NIL,
1402,S88MC1402C,17/10/1988,POMEX COURT (Terminated),Terminated,50 LORONG 101 CHANGI SINGAPORE 426657,"16 SHAW ROAD
#02-01 KIN BUILDING
 SINGAPORE 367954",62951111,K16 Services Pte Ltd,62951111
1403,S88MC1403K,18/10/1988,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1403,Active,413/A SEMBAWANG ROAD SINGAPORE 758385,"413 SEMBAWANG ROAD

 SINGAPORE 758396",98180858,,
1404,S88MC1404F,21/10/1988,SHELFORD MANSION,Active,27 SHELFORD ROAD SINGAPORE 288421,"10 JALAN BESAR
#10-06 SIM LIM TOWER
 SINGAPORE 208787",63387222,HBA Group Property Consultants Pte Ltd,63387222
1405,S88MC1405B,22/10/1988,PALM VILLE,Terminated,,"554 UPPER EAST COAST ROAD

 SINGAPORE 466577",63036162,HBA GROUP PROPERTY CONSULTANTS PTE LTD,63387222
1406,S88MC1406J,24/10/1988,LOYANG VILLE,Terminated,205L JALAN LOYANG BESAR SINGAPORE 509467,"JALAN LOYANG BESAR
LOYANG VILLE
 SINGAPORE 509461",65323191,HBA GROUP PROPERTY CONSULTANTS PTE LTD,63387222
1407,S88MC1407E,26/10/1988,JI LIANG GARDENS,Active,21E LORONG K TELOK KURAU SINGAPORE 425618,"21A LORONG K TELOK KURAU

 SINGAPORE 425618",97318600,,
1408,S88MC1408A,26/10/1988,NOVENA GARDENS,Active,273 THOMSON ROAD SINGAPORE 307644,"273 THOMSON ROAD
#B1-01 NOVENA GARDENS
 SINGAPORE 307644",63375277,RealtyLink Consultancy Pte Ltd,63375277
1409,S88MC1409H,28/10/1988,TULIP GARDEN (terminated),Terminated,1 FARRER ROAD SINGAPORE 268817,"1 
#02-01 TULIP GARDEN
 SINGAPORE 268817",64680227,Property Facility Serivces Pte Ltd,62211313
1410,S88MC1410E,14/11/1988,UNION ENERGY GROUP BUILDING,Active,25 GENTING ROAD SINGAPORE 349482,"25 GENTING ROAD
#01-01 UNION ENERGY GROUP BUILDING
 SINGAPORE 349482",66031785,,
1411,S88MC1411A,24/11/1988,31-31E OEI TIONG HAM PARK,Active,31 OEI TIONG HAM PARK SINGAPORE 267036,"31C OEI TIONG HAM PARK

 SINGAPORE 267036",96212900,,
1412,S88MC1412H,03/12/1988,NTUC INCOME HENDERSON INDUSTRIAL,Terminated,201 HENDERSON ROAD SINGAPORE 159545,"201 HENDERSON ROAD
NTUC INCOME HENDERSON INDUSTRIAL
 SINGAPORE 159545",62763261,UGL SERVICES PREMAS OPERATIONAL LIMITED,68760088
1413,S88MC1413D,14/12/1988,BOON TECK HEIGHTS,Terminated,31 BOON TECK ROAD SINGAPORE 329602,"540 SIMS AVENUE
#3-6 SIMS AVENUE CENTRE
 SINGAPORE 387603",68421731,LANDSFIELD PROPERTY CONSULTANTS PTE LTD,68421731
1414,S88MC1414L,19/12/1988,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1414,Active,113 KING GEORGES AVENUE SINGAPORE 208560,"113 KING GEORGES AVENUE
#01-02 
 SINGAPORE 208560",62999808,,
1415,S88MC1415G,20/12/1988,DAISY PARK,Terminated,35A SOMMERVILLE ROAD SINGAPORE 358266,"37 SOMMERVILLE ROAD
DAISY PARK
 SINGAPORE 358269",96267686,MCST,96267686
1416,S88MC1416C,21/12/1988,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1416,Active,27A PASIR PANJANG HILL SINGAPORE 118844,"28 PASIR PANJANG HILL
PASIR PANJANG HILL
 SINGAPORE 415979",64411184,A4 International Pte Ltd,64411184
1417,S88MC1417K,22/12/1988,TECK HENG LONG INDUSTRIAL BUILDING,Active,11 SYED ALWI ROAD SINGAPORE 207629,"11 SYED ALWI ROAD
#04-06 TECK HENG LONG INDUSTRIAL BUILDING
 SINGAPORE 207629",65355306,Specialist Realty & Management Pte Ltd,65355306
1418,S88MC1418F,22/12/1988,PUMPKIN GARDEN,Terminated,,"UPPER SERANGOON ROAD
P.O. BOX 0141
 SINGAPORE 915425",67336845,KIRIN PROPERTIES & SERVICES,67336845
1419,S88MC1419B,22/12/1988,,Terminated,5/A/B/C/D SURREY ROAD SINGAPORE 307744,"TAN KIM CHENG ROAD

 SINGAPORE",,KIRIN PROPERTIES & SERVICES,67336845
1420,S88MC1420K,22/12/1988,BALESTIER POINT,Active,279 BALESTIER ROAD SINGAPORE 429727,"279 BALESTIER ROAD
#05-00 BALESTIER POINT
 SINGAPORE 329727",82225353,,
1421,S88MC1421F,28/12/1988,,Terminated,,,,WISELY 98 PTE LTD,62915355
1422,S89MC1422G,17/01/1989,NO. 2 JALAN LABU,Active,2 JALAN LABU AYER SINGAPORE 538018,"21 LORONG KILAT
SUN COURT
 SINGAPORE 598123",64661342,Philip Motha Property Management Pte Ltd,64661342
1423,S89MC1423C,19/01/1989,VALLEY APARTMENTS (TERMINATED),Terminated,18 TONG WATT ROAD SINGAPORE 288010,"HOUGANG STREET 21

 SINGAPORE 530204",63838996,DTC SERVICES PTE LTD,63838996
1424,S89MC1424K,24/01/1989,,Terminated,,"TANK ROAD
STRATA TITLE SCHEME TERMINATED
 SINGAPORE 238066",,DTC SERVICES PTE LTD,63838996
1425,S89MC1425F,28/01/1989,MAYFAIR GARDENS,Terminated,2 RIFLE RANGE ROAD SINGAPORE 588373,"2 RIFLE RANGE ROAD
#01-01 MAYFAIR GARDENS
 SINGAPORE 588373",64685100,Chamber Property Management Services Pte Ltd,64685100
1426,S89MC1426B,28/01/1989,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.1426,Active,164 EVERITT ROAD SINGAPORE 428691,"164 EVERITT ROAD

 SINGAPORE 428691",96791990,,
1427,S89MC1427J,03/02/1989,,Terminated,86B TEMBELING ROAD SINGAPORE 423595,"TEMBELING ROAD

 SINGAPORE 423596",65624789,CHAN KOK HONG STRATA MANAGEMENT PTE LTD,63467689
1428,S89MC1428E,14/02/1989,CONCORDE HOTEL AND SHOPPING MALL,Active,100 ORCHARD ROAD SINGAPORE 238840,"100 ORCHARD ROAD
#01-100B CONCORDE HOTEL AND SHOPPING MALL
 SINGAPORE 238840",67349655,,
1429,S89MC1429A,14/02/1989,SERANGOON PLAZA,Terminated,320 SERANGOON ROAD SINGAPORE 218108,"101 CECIL STREET
#26-01 TONG ENG BUILDING
 SINGAPORE 069533",62237712,FEATURE DEVELOPMENT PTE LTD,62237712
1430,S89MC1430J,18/02/1989,HOLLAND V SHOPPING MALL,Terminated,3 LORONG LIPUT SINGAPORE 277729,"3 LORONG LIPUT
HOLLAND V SHOPPING MALL
 SINGAPORE 277729",64668785,,
1431,S89MC1431E,22/02/1989,LEONG BEE BUILDING,Terminated,178 TYRWHITT ROAD SINGAPORE 207577,"178 TYRWHITT ROAD
#03-180 LEONG BEE BUILDING
 SINGAPORE 207577",64646820,NIL,
